"Code de categorie";"Designation";"Agence";"Famille de categorie";"num_serie_materiels";"quantite_materiels";"designation_comp";"num_serie_composant"
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830468";"1";"chargeur";"ADC022109239";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830468";"1";"Cliveuse";"CC 1092010138";
"OU6030604";"COMWAY C10S";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"13410830468";"1";"batterie";"03211043F";
"OU6050606";"FITEL NINJA";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"04322";"1";"Cliveuse";"129698";
"OU6050606";"FITEL NINJA";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"04322";"1";"chargeur";"1904 - 0000945";
"OU6070620";"Fujikura 90S+";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"11";"1";"";"";
"OU6070620";"Fujikura 90S+";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"OU6070621";"Fujikura 41S+";"324 route des vernes 74370 Pringy Annecy";"SOUDEUSE";"12";"1";"";"";
"OU6070621";"Fujikura 41S+";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"123";"1";"";"";
"OU6300631";"Tente de chantier 180*180*200";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
"OU6300631";"Tente de chantier 180*180*200";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"OU7410742";"Perforateur M18 BH-402C";"324 route des vernes 74370 Pringy Annecy";"Perforateur";"";"18";"";"";
"OU7410742";"Perforateur M18 BH-402C";"21 Rue de la Dhuys, 93470 Coubron";"Perforateur";"";"18";"";"";
"OU7420743";"Perceuse Visseuse M18 BPD-0";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"3";"";"";
"OU7420743";"Perceuse Visseuse M18 BPD-0";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"3";"";"";
"SE0420043";"Balises de signalisation 0.50m";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"108";"";"";
"SE0420043";"Balises de signalisation 0.50m";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"108";"";"";
"SE3110312";"Garde-Fou aluminium 1m x 1m x 0,90m";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"2";"";"";
"SE3110312";"Garde-Fou aluminium 1m x 1m x 0,90m";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"2";"";"";
"SE4880489";"Panneau travaux";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"24";"";"";
"SE4880489";"Panneau travaux";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"24";"";"";
"SE4920493";"Panneau chaussee retrecie";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"24";"";"";
"SE4920493";"Panneau chaussee retrecie";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"24";"";"";
"SE4940495";"Panneau 30 km/h";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"2";"";"";
"SE4940495";"Panneau 30 km/h";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"2";"";"";
"SE4950496";"Panneau 50 km/h";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"2";"";"";
"SE4950496";"Panneau 50 km/h";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"2";"";"";
"TE5030504";"Photomatre";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"18";"";"";
"TE5030504";"Photomatre";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"18";"";"";
"TE6130614";"Laser 30mW";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"3";"";"";
"TE6130614";"Laser 30mW";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"3";"";"";
"TI0080009";"Recharge Aiguille 30m D 3mm";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"18";"";"";
"TI0080009";"Recharge Aiguille 30m D 3mm";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"18";"";"";
"TI0150016";"Aiguille 300m D 11mm";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"TI0150016";"Aiguille 300m D 11mm";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
"TI0160017";"Aiguille 100m D 6mm";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"TI0160017";"Aiguille 100m D 6mm";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"TI0200021";"Aiguille 60m D 4,5mm";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"TI0200021";"Aiguille 60m D 4,5mm";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"TI2050206";"Crochet leve plaque L 570mm";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"TI2050206";"Crochet leve plaque L 570mm";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"TI2130214";"Derouleur a patins 1500 Kg";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
"TI2130214";"Derouleur a patins 1500 Kg";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"TI4230424";"Marteau a plaque";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"19";"";"";
"TI4230424";"Marteau a plaque";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"19";"";"";
"TI4380439";"Mire aluminium telescopique 5m";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"TI4380439";"Mire aluminium telescopique 5m";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
