"Code de categorie";"Designation";"Agence";"Famille de categorie";"num_serie_materiels";"quantite_materiels";"designation_comp";"num_serie_composant"
"CO3800381";"Lingettes kimwipes";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"2";"";"";
"KS0910092";"Sac a  bandouliere SMARTBAG XL";"21 Rue de la Dhuys, 93470 Coubron";"ACCESSOIRES";"";"2";"";"";
"KS0910092";"Sac a  bandouliere SMARTBAG XL";"324 route des vernes 74370 Pringy Annecy";"ACCESSOIRES";"";"2";"";"";
"KS1580159";"Cle gaine technique";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"2";"";"";
"KS1580159";"Cle gaine technique";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"2";"";"";
"KS4260427";"Marteau rivoir 400G";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"18";"";"";
"KS4260427";"Marteau rivoir 400G";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"18";"";"";
"KS5120513";"Pince a bec";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"KS5120513";"Pince a bec";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"KS5190520";"Pince coupante";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"KS5190520";"Pince coupante";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"KS5440545";"Pointerolle corps octagonal";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"18";"";"";
"KS5440545";"Pointerolle corps octagonal";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"18";"";"";
"KS6370638";"Tournevis fente 3.5mm";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"KS6370638";"Tournevis fente 3.5mm";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"KS6380639";"Tournevis fente 5,5mm";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"KS6380639";"Tournevis fente 5,5mm";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"KS6390640";"Tournevis PH0";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
"KS6390640";"Tournevis PH0";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"KS6400641";"Tournevis PH2";"324 route des vernes 74370 Pringy Annecy";"OUTILS";"";"21";"";"";
"KS6400641";"Tournevis PH2";"21 Rue de la Dhuys, 93470 Coubron";"OUTILS";"";"21";"";"";
